Qty_1ha,Amt_1ha (?),Qty_2ha,Amt_2ha (?),Qty_3ha,Amt_3ha (?),Qty_4ha,Amt_4ha (?),
HDPE/PVC Main Pipe (m),150,"22,000",280,"41,000",400,"58,000",520,"75,000"
Inline Drip Laterals (m),"10,000","70,000","20,000","1,35,000","30,000","2,00,000","40,000","2,65,000"
Disc/Screen Filter (Unit),1,"7,500",1,"12,000",2,"15,000",2,"22,000"
Venturi Fertigation Set,1,"3,500",1,"3,500",1,"5,500",1,"5,500"
Control Valves (Unit),4,"2,800",8,"5,600",12,"8,400",16,"11,200"
Flush/Air Valves (Unit),2,"1,200",4,"2,400",6,"3,600",8,"4,800"
Grommets/Connectors,500,"4,500","1,000","9,000","1,500","13,500","2,000","18,000"
End Caps/Plugs,50,"1,500",100,"3,000",150,"4,500",200,"6,000"
Basic System Cost,,"1,13,000",,"2,11,500",,"3,08,500",,"4,07,500"
