Component,Qty_1ha_(50mm dia),Amt_1ha_50mm dia,Qty_2ha_(63mmdia),Amt_2ha_(63mmdia),Qty_3ha_75mm dia,Amt_3ha_75mm dia,Qty_4ha_75mm dia,Amt_4ha_75mm dia
HDPE Pipes with quick action coupler (6m),25,7770,30,10448.7,37,13378.09,45,16270.65
Sprinkler coupler with foot baton assembly,5,921.6,7,1411.2,11,2382.3,14,3032
Sprinkler nozzles (1.7 to 2.8 kg/cm2),5,1188,7,1662.2,11,2613.6,14,3326.4
Riser pipe 20mm dia x 75cm,5,264,7,369.6,11,580.8,14,739.2
Connecting nipple,1,115.2,1,129,1,167,1,167
Bend with coupler 90°,1,108,1,126,1,168,1,168
Tee with coupler,1,138,1,152.4,1,180,1,180
End plug,2,96,2,108,2,132,2,132
Basic system cost per hectare (Rs.),,10600.8,,14407.1,,19601.79,,24015.25
